字段1_文本,字段1_链接,字段2,字段3_文本,字段3_链接,字段4,字段5,字段6,字段7_文本,字段7_链接,字段8,字段9,字段10,字段11,字段12,字段13_文本,字段13_链接,字段14_文本,字段14_链接,字段15_文本,字段15_链接,字段16_文本,字段16_链接,字段17_文本,字段17_链接,字段18,字段19,字段20,字段21_文本,字段21_链接,字段22_文本,字段22_链接,字段23,字段24,时间_文本,时间_链接,字段25_文本,字段25_链接,字段26_文本,字段26_链接,字段27,字段28,字段29,字段30,字段31_文本,字段31_链接,字段32,字段33_文本,字段33_链接
[PDF] researchgate.net,https://www.researchgate.net/profile/Mohamed_Jeebhay/publication/332045306_Occupational_injuries_and_diseases_in_aquaculture_-_A_review_of_literature/links/5d737efa92851cacdb276b14/Occupational-injuries-and-diseases-in-aquaculture-A-review-of-literature.pdf,[PDF],Occupational injuries and diseases in aquaculture–A review of literature,https://www.sciencedirect.com/science/article/pii/S0044848618323561,Occupational ,aquaculture,"D Ngajilo, MF Jeebhay - Aquaculture, 2019 - Elsevier",D Ngajilo,https://scholar.google.com/citations?user=iJws7u0AAAAJ&hl=en&oi=sra,Aquaculture,"Background Aquaculture is one of the fastest growing food-producing sectors. Little is known
of the occupational exposures, risk factors and their associated adverse health outcomes
among aquaculture workers, particularly from low and middle income countries (LMICs). Aim …",Aquaculture ,occupational ,aquaculture ,Cited by 16,"https://scholar.google.com/scholar?cites=12317625692560546260&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:1NlLSU7_8KoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 5 versions,"https://scholar.google.com/scholar?cluster=12317625692560546260&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,Occupational injuries and diseases in aquaculture–A review of literature,https://www.sciencedirect.com/science/article/pii/S0044848618323561,Occupational ,aquaculture,[PDF] researchgate.net,D Ngajilo,https://scholar.google.com/citations?user=iJws7u0AAAAJ&hl=en&oi=sra,,,"Background Aquaculture is one of the fastest growing food-producing sectors. Little is known
of the occupational exposures, risk factors and their associated adverse health outcomes
among aquaculture workers, particularly from low and middle income countries (LMICs). Aim …",Aquaculture ,Cited by 16,"https://scholar.google.com/scholar?cites=12317625692560546260&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:1NlLSU7_8KoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 5 versions,"https://scholar.google.com/scholar?cluster=12317625692560546260&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,occupational ,aquaculture ,,,,,,
[PDF] unit.no,https://sintef.brage.unit.no/sintef-xmlui/bitstream/handle/11250/2480010/Postprint_Occupational+safety+in+aquaculture+-+Part+1+Injuries+in+Norway.pdf?sequence=1,[PDF],Occupational safety in aquaculture–Part 1: Injuries in Norway,https://www.sciencedirect.com/science/article/pii/S0308597X16303906,Occupational ,aquaculture,"SM Holen, IB Utne, IM Holmen, H Aasjord - Marine Policy, 2018 - Elsevier",IB Utne,https://scholar.google.com/citations?user=9liutWUAAAAJ&hl=en&oi=sra,,"This article presents an overview of reported injuries in the Norwegian aquaculture industry
focusing on the production of Atlantic salmon and trout, which dominates the fish farming
industry in Norway. Two different data sets form the basis for the analysis:(i) occupational  …",aquaculture ,occupational ,,Cited by 34,"https://scholar.google.com/scholar?cites=6247368855081991525&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:ZT0ArN8cs1YJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 4 versions,"https://scholar.google.com/scholar?cluster=6247368855081991525&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",IM Holmen,https://scholar.google.com/citations?user=9fS9sdQAAAAJ&hl=en&oi=sra,Occupational safety in aquaculture–Part 1: Injuries in Norway,https://www.sciencedirect.com/science/article/pii/S0308597X16303906,Occupational ,aquaculture,[PDF] unit.no,IB Utne,https://scholar.google.com/citations?user=9liutWUAAAAJ&hl=en&oi=sra,IM Holmen,https://scholar.google.com/citations?user=9fS9sdQAAAAJ&hl=en&oi=sra,"This article presents an overview of reported injuries in the Norwegian aquaculture industry
focusing on the production of Atlantic salmon and trout, which dominates the fish farming
industry in Norway. Two different data sets form the basis for the analysis:(i) occupational  …",aquaculture ,Cited by 34,"https://scholar.google.com/scholar?cites=6247368855081991525&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:ZT0ArN8cs1YJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 4 versions,"https://scholar.google.com/scholar?cluster=6247368855081991525&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,occupational ,,,,,,,
[PDF] ntnu.no,https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2480227/Postprint_Occupational%2Bsafety%2Bin%2Baquaculture%2B%2BPart%2B2%2BFatalities%2Bin%2BNorway.pdf?sequence=1,[PDF],Occupational safety in aquaculture–Part 2: Fatalities in Norway 1982–2015,https://www.sciencedirect.com/science/article/pii/S0308597X16303918,Occupational ,aquaculture,"SM Holen, IB Utne, IM Holmen, H Aasjord - Marine Policy, 2018 - Elsevier",IB Utne,https://scholar.google.com/citations?user=9liutWUAAAAJ&hl=en&oi=sra,,"This article presents an overview of reported fatalities in the Norwegian aquaculture industry
focusing on the production of Atlantic salmon and trout, which dominate the fish farming
industry in Norway. The data on fatalities from 1982 to 2015 are registered by SINTEF …",aquaculture ,,,Cited by 26,"https://scholar.google.com/scholar?cites=4425822395480388696&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:WLSTCQWuaz0J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 4 versions,"https://scholar.google.com/scholar?cluster=4425822395480388696&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",IM Holmen,https://scholar.google.com/citations?user=9fS9sdQAAAAJ&hl=en&oi=sra,Occupational safety in aquaculture–Part 2: Fatalities in Norway 1982–2015,https://www.sciencedirect.com/science/article/pii/S0308597X16303918,Occupational ,aquaculture,[PDF] ntnu.no,IB Utne,https://scholar.google.com/citations?user=9liutWUAAAAJ&hl=en&oi=sra,IM Holmen,https://scholar.google.com/citations?user=9fS9sdQAAAAJ&hl=en&oi=sra,"This article presents an overview of reported fatalities in the Norwegian aquaculture industry
focusing on the production of Atlantic salmon and trout, which dominate the fish farming
industry in Norway. The data on fatalities from 1982 to 2015 are registered by SINTEF …",aquaculture ,Cited by 26,"https://scholar.google.com/scholar?cites=4425822395480388696&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:WLSTCQWuaz0J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 4 versions,"https://scholar.google.com/scholar?cluster=4425822395480388696&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,,,,,,
,,,Occupational injury and disease in the Australian aquaculture industry,https://www.sciencedirect.com/science/article/pii/S0308597X18305864,Occupational ,aquaculture ,"RJ Mitchell, RP Lystad - Marine Policy, 2019 - Elsevier",RJ Mitchell,https://scholar.google.com/citations?user=Rt8mIzoAAAAJ&hl=en&oi=sra,,"This study quantifies the incidence and characteristics of work-related injury and disease in
the aquaculture and related service industries in Australia. Information on serious (ie one or
more weeks off work) injury/disease claims was obtained from the National Data Set of …",aquaculture ,,,Cited by 11,"https://scholar.google.com/scholar?cites=18048939331386418739&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:Mybdy7G2evoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 3 versions,"https://scholar.google.com/scholar?cluster=18048939331386418739&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",RP Lystad,https://scholar.google.com/citations?user=3_zzRb0AAAAJ&hl=en&oi=sra,Occupational injury and disease in the Australian aquaculture industry,https://www.sciencedirect.com/science/article/pii/S0308597X18305864,Occupational ,aquaculture ,"RJ Mitchell, RP Lystad - Marine Policy, 2019 - Elsevier",RJ Mitchell,https://scholar.google.com/citations?user=Rt8mIzoAAAAJ&hl=en&oi=sra,RP Lystad,https://scholar.google.com/citations?user=3_zzRb0AAAAJ&hl=en&oi=sra,"This study quantifies the incidence and characteristics of work-related injury and disease in
the aquaculture and related service industries in Australia. Information on serious (ie one or
more weeks off work) injury/disease claims was obtained from the National Data Set of …",aquaculture ,Cited by 11,"https://scholar.google.com/scholar?cites=18048939331386418739&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:Mybdy7G2evoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 3 versions,"https://scholar.google.com/scholar?cluster=18048939331386418739&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,,,,,,
[PDF] academia.edu,https://www.academia.edu/download/46465636/An_evaluation_of_fish_health-management_20160614-10750-1p02gme.pdf,[PDF],… fish health‐management practices and occupational health hazards associated with Pangasius catfish (Pangasianodon hypophthalmus) aquaculture in the Mekong …,https://onlinelibrary.wiley.com/doi/abs/10.1111/are.12728,occupational ,aquaculture ,"TM Phu, NT Phuong, TT Dung, DM Hai… - Aquaculture …, 2016 - Wiley Online Library",TM Phu,https://scholar.google.com/citations?user=NwOqyxAAAAAJ&hl=en&oi=sra,Aquaculture,"This study aimed to evaluate the current status on the use of probiotics, disinfectants and
antimicrobials in hatcheries, nurseries and grow‐out farms producing Pangasius catfish (P
angasianodon hypophthalmus) in the Mekong Delta, Vietnam. Semi‐structured interviews …",,,,Cited by 26,"https://scholar.google.com/scholar?cites=684767913066971119&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:7z_x88nIgAkJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=684767913066971119&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",NT Phuong,https://scholar.google.com/citations?user=ymizSfsAAAAJ&hl=en&oi=sra,… fish health‐management practices and occupational health hazards associated with Pangasius catfish (Pangasianodon hypophthalmus) aquaculture in the Mekong …,https://onlinelibrary.wiley.com/doi/abs/10.1111/are.12728,occupational ,aquaculture ,[PDF] academia.edu,TM Phu,https://scholar.google.com/citations?user=NwOqyxAAAAAJ&hl=en&oi=sra,NT Phuong,https://scholar.google.com/citations?user=ymizSfsAAAAJ&hl=en&oi=sra,"This study aimed to evaluate the current status on the use of probiotics, disinfectants and
antimicrobials in hatcheries, nurseries and grow‐out farms producing Pangasius catfish (P
angasianodon hypophthalmus) in the Mekong Delta, Vietnam. Semi‐structured interviews …",,Cited by 26,"https://scholar.google.com/scholar?cites=684767913066971119&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:7z_x88nIgAkJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=684767913066971119&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",Pangasianodon hypophthalmus,,,,,,,,
,,,Occupational health and safety in aquaculture: insights on Brazilian public policies,https://www.tandfonline.com/doi/abs/10.1080/1059924X.2017.1283275,Occupational ,aquaculture,"PK de Oliveira, RS Cavalli, HC Kunert Filho… - Journal of …, 2017 - Taylor & Francis",,,,"Aquaculture has many occupational hazards, including those that are physical, chemical,
biological, ergonomic, and mechanical. The risks in aquaculture are inherent, as this activity
requires particular practices. The objective of the present study was to show the risks …",Aquaculture ,occupational ,aquaculture ,Cited by 7,"https://scholar.google.com/scholar?cites=2614454793332132365&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:DQrhVchoSCQJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=2614454793332132365&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,Occupational health and safety in aquaculture: insights on Brazilian public policies,https://www.tandfonline.com/doi/abs/10.1080/1059924X.2017.1283275,Occupational ,aquaculture,"PK de Oliveira, RS Cavalli, HC Kunert Filho… - Journal of …, 2017 - Taylor & Francis",,,,,"Aquaculture has many occupational hazards, including those that are physical, chemical,
biological, ergonomic, and mechanical. The risks in aquaculture are inherent, as this activity
requires particular practices. The objective of the present study was to show the risks …",Aquaculture ,Cited by 7,"https://scholar.google.com/scholar?cites=2614454793332132365&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:DQrhVchoSCQJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=2614454793332132365&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,occupational ,aquaculture ,,,,,,
[PDF] washington.edu,https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/40091/Turner_washington_0250O_17281.pdf?sequence=1,[PDF],Occupational injuries of aquaculture workers: Washington State,https://www.tandfonline.com/doi/abs/10.1080/1059924X.2018.1501452,Occupational ,aquaculture ,"K Turner, P Rabinowitz, N Anderson… - Journal of …, 2018 - Taylor & Francis",,,,"Objective: To characterize occupational injuries of aquaculture workers in Washington State.
Methods: We reviewed accepted Washington State workers' compensation claims from
January 1, 2006 to December 31, 2014. Trends in employment, worker demographics …",occupational ,aquaculture ,worker ,Cited by 6,"https://scholar.google.com/scholar?cites=4709118736624624508&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:fKOlfYomWkEJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=4709118736624624508&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,Occupational injuries of aquaculture workers: Washington State,https://www.tandfonline.com/doi/abs/10.1080/1059924X.2018.1501452,Occupational ,aquaculture ,[PDF] washington.edu,,,,,"Objective: To characterize occupational injuries of aquaculture workers in Washington State.
Methods: We reviewed accepted Washington State workers' compensation claims from
January 1, 2006 to December 31, 2014. Trends in employment, worker demographics …",occupational ,Cited by 6,"https://scholar.google.com/scholar?cites=4709118736624624508&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:fKOlfYomWkEJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 8 versions,"https://scholar.google.com/scholar?cluster=4709118736624624508&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,aquaculture ,worker ,,,,,,
[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2451943X17301163,[HTML],… management practices and occupational health hazards in tiger shrimp (Penaeus monodon) and freshwater prawn (Macrobrachium rosenbergii) aquaculture …,https://www.sciencedirect.com/science/article/pii/S2451943X17301163,occupational ,aquaculture,"H Ali, MM Rahman, A Rico, A Jaman, SK Basak… - Veterinary and animal …, 2018 - Elsevier",H Ali,https://scholar.google.com/citations?user=vdNd-ywAAAAJ&hl=en&oi=sra,,"Diseases have been recognized as the major obstacle to the shrimp (Penaeus monodon)
and prawn (Macrobrachium rosenbergii) aquaculture production in Bangladesh. This study
provides an assessment of shrimp and prawn diseases/syndromes, health management …",aquaculture ,,,Cited by 10,"https://scholar.google.com/scholar?cites=15423932030101060411&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:O3vxPXbQDNYJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 15 versions,"https://scholar.google.com/scholar?cluster=15423932030101060411&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",MM Rahman,https://scholar.google.com/citations?user=zNWC64EAAAAJ&hl=en&oi=sra,… management practices and occupational health hazards in tiger shrimp (Penaeus monodon) and freshwater prawn (Macrobrachium rosenbergii) aquaculture …,https://www.sciencedirect.com/science/article/pii/S2451943X17301163,occupational ,aquaculture,[HTML] sciencedirect.com,H Ali,https://scholar.google.com/citations?user=vdNd-ywAAAAJ&hl=en&oi=sra,MM Rahman,https://scholar.google.com/citations?user=zNWC64EAAAAJ&hl=en&oi=sra,"Diseases have been recognized as the major obstacle to the shrimp (Penaeus monodon)
and prawn (Macrobrachium rosenbergii) aquaculture production in Bangladesh. This study
provides an assessment of shrimp and prawn diseases/syndromes, health management …",aquaculture ,Cited by 10,"https://scholar.google.com/scholar?cites=15423932030101060411&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:O3vxPXbQDNYJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 15 versions,"https://scholar.google.com/scholar?cluster=15423932030101060411&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[HTML],A Rico,https://scholar.google.com/citations?user=IN7Bh9sAAAAJ&hl=en&oi=sra,,,
[PDF] ifremer.fr,https://archimer.ifremer.fr/doc/00252/36301/34830.pdf,[PDF],A revolution without people? Closing the people–policy gap in aquaculture development,https://www.sciencedirect.com/science/article/pii/S0044848615000800,aquaculture ,,"G Krause, C Brugere, A Diedrich, MW Ebeling… - Aquaculture, 2015 - Elsevier",G Krause,https://scholar.google.com/citations?user=w3jvlD4AAAAJ&hl=en&oi=sra,Aquaculture,"… The international problem is that there is a gap in knowledge exchange between the
aquaculture industry, policy makers trying to support aquaculture development and
people who depend on aquaculture for a job and/or food source … 
",aquaculture,aquaculture,aquaculture,Cited by 106,"https://scholar.google.com/scholar?cites=5399498458270725588&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:1PV-cj3f7koJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 21 versions,"https://scholar.google.com/scholar?cluster=5399498458270725588&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",A Diedrich,https://scholar.google.com/citations?user=UgKNWW4AAAAJ&hl=en&oi=sra,A revolution without people? Closing the people–policy gap in aquaculture development,https://www.sciencedirect.com/science/article/pii/S0044848615000800,aquaculture ,,[PDF] ifremer.fr,G Krause,https://scholar.google.com/citations?user=w3jvlD4AAAAJ&hl=en&oi=sra,A Diedrich,https://scholar.google.com/citations?user=UgKNWW4AAAAJ&hl=en&oi=sra,"… The international problem is that there is a gap in knowledge exchange between the
aquaculture industry, policy makers trying to support aquaculture development and
people who depend on aquaculture for a job and/or food source … 
",aquaculture,Cited by 106,"https://scholar.google.com/scholar?cites=5399498458270725588&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:1PV-cj3f7koJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 21 versions,"https://scholar.google.com/scholar?cluster=5399498458270725588&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,aquaculture,aquaculture,,,,job,,
[PDF] pnas.org,https://www.pnas.org/content/pnas/115/28/7162.full.pdf,[PDF],Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,https://www.pnas.org/content/115/28/7162.short,aquaculture ,,"SE Lester, RR Gentry, CV Kappel… - Proceedings of the …, 2018 - National Acad Sciences",SE Lester,https://scholar.google.com/citations?user=d4KNZWEAAAAJ&hl=en&oi=sra,,"… Physiology; Plant Biology; Population Biology; Psychological and Cognitive Sciences;
Sustainability Science; Systems Biology. Opinion. Opinion: Offshore aquaculture in
the United States: Untapped potential in need of smart policy … 
",aquaculture,,,Cited by 35,"https://scholar.google.com/scholar?cites=8801788236758927522&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:okg6eMQ7JnoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=8801788236758927522&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",RR Gentry,https://scholar.google.com/citations?user=RWAh7T0AAAAJ&hl=en&oi=sra,Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,https://www.pnas.org/content/115/28/7162.short,aquaculture ,,"[PDF] pnas.org
Free from Publisher",SE Lester,https://scholar.google.com/citations?user=d4KNZWEAAAAJ&hl=en&oi=sra,RR Gentry,https://scholar.google.com/citations?user=RWAh7T0AAAAJ&hl=en&oi=sra,"… Physiology; Plant Biology; Population Biology; Psychological and Cognitive Sciences;
Sustainability Science; Systems Biology. Opinion. Opinion: Offshore aquaculture in
the United States: Untapped potential in need of smart policy … 
",aquaculture,Cited by 35,"https://scholar.google.com/scholar?cites=8801788236758927522&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:okg6eMQ7JnoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=8801788236758927522&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,,CV Kappel,https://scholar.google.com/citations?user=icGWVrkAAAAJ&hl=en&oi=sra,,Free from Publisher,"https://scholar.google.com/scholar?output=instlink&q=info:okg6eMQ7JnoJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021&scillfp=4732974912575957532&oi=lle"
