文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18,文本19,文本20,文本21,文本22,字段1,字段2,文本23,文本24,文本25,文本26,文本27,文本28,文本29,文本30,文本31,文本32,文本33,文本34,文本35,文本36,文本37,文本38,文本39,文本40,文本41,文本42,文本43,文本44,文本45,文本46,文本47,字段3,标题
"Abstract
Background

Aquaculture is one of the fastest growing food-producing sectors. Little is known of the occupational exposures, risk factors and their associated adverse health outcomes among aquaculture workers, particularly from low and middle income countries (LMICs).

Aim

To gain better insight into the occupational exposures and associated occupational diseases and injuries among aquaculture workers.

Methods

MEDLINE, Google Scholar and SCOPUS literature searches were undertaken to identify relevant studies (1960–2018). Furthermore, data from official country reports, industry, labour ministries and workers' compensation boards were reviewed.

Results

The review identified that very few studies (3%) were reported from LMICs. Most studies that were reported focussed on farming fish and crustaceans, and less so molluscs and aquatic plants. Occupational exposure characterisation studies were mainly reported for noise (43.2–77.5 dB), chemicals such as formaldehyde in hatcheries (<0.045- > 2.0 ppm) and microorganisms such as E. coli bacteria in fish ponds (7.0 × 102–5.3x106CFU/100 ml). The most common occupational diseases included musculoskeletal disorders (MSD) (prevalence: 21–63%); respiratory symptoms and asthma (4–65%); skin infections (2.2–15.7%), dermatitis (6%) and urticaria (0.7%); occupational infections such as leptospirosis (incidence: 33/100,000PYS); and decompression illness in divers (incidence: 0.57–26.19/10,000PYS). Among crawfish farmers, tractor use was associated with increased risk of wrist pain (OR = 2.89) and lower-backache (OR = 2.41), while increased employment duration was associated with upper-backache (OR = 3.07). In fish farming, skin ailments were strongly associated with female gender (OR = 2.48); previous history of skin problems (OR = 8.50); waste-water exposure (OR = 2.74); fish farming-related jobs (OR = 3.47); lack of personal skin protective measures against wastewater (OR = 2.24) and work in the wet season (OR = 2.80). The most common injuries included falls (10–49/10,000 PYS), blows from an object (14–37/10,000 PYS), entanglement (29/10,000 PYS), pricks/cuts/punctures (29/10,000 PYS), high voltage exposures (8/10,000 PYS) and needlestick injuries (5 self-injections per 1,000,000 vaccinations). Seaweed farmers reported injuries mainly from hazardous aquatic animals and sharp shells on the seabed (54%). Preventive approaches based on the hierarchy of control measures to reduce health risks associated with hazardous exposures is existent mainly in predominantly well-resourced high income countries.

Conclusion

Aquaculture workers are at increased risk of developing occupational diseases and injuries attributed to various occupational hazards, and that these risks are under-reported, especially from LMICs. Future studies should explore the interaction between these environmental exposures and work organization factors in causing occupational diseases and injuries. A better understanding of key occupational risk factors and the evaluation of interventions to reduce these risks is crucial in protecting and promoting the health of workers in this sector.",,,,,,,,,,,,,,,,,,,,,,,,,Occupational injuries and diseases in aquaculture – A review of literature,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

This article presents an overview of reported injuries in the Norwegian aquaculture industry focusing on the production of Atlantic salmon and trout, which dominates the fish farming industry in Norway. Two different data sets form the basis for the analysis: (i) occupational injuries reported to the Norwegian Labor and Welfare Administration, and (ii) serious occupational injuries reported to the Norwegian Labor Inspection Authority. The data sets on occupational injuries and serious injuries provide information about mode of injury, type of injury, affected body parts, and time of year of the reported injuries. The results and the injury trends are analyzed and discussed in light of important characteristics and changes in the Norwegian fish farming industry, including underreporting. This information is useful in safety management and for allocating resources for risk-reducing measures.",,,,,,,,,,,,,,,,,,,,,,,,,Occupational safety in aquaculture – Part 1: Injuries in Norway,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

This article presents an overview of reported fatalities in the Norwegian aquaculture industry focusing on the production of Atlantic salmon and trout, which dominate the fish farming industry in Norway. The data on fatalities from 1982 to 2015 are registered by SINTEF Ocean, which is the only data source available. The fatality data set includes information on the incidents leading to fatalities, activities conducted at the time of fatalities and the time of year the fatalities were registered. The article discusses the fatality trends in light of the characteristics and changes in the Norwegian fish farming industry during the last three decades. This provides useful information for determining the most important current safety challenges and for developing efficient safety management in aquaculture.",,,,,,,,,,,,,,,,,,,,,,,,,Occupational safety in aquaculture – Part 2: Fatalities in Norway 1982–2015,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

This study quantifies the incidence and characteristics of work-related injury and disease in the aquaculture and related service industries in Australia. Information on serious (i.e. one or more weeks off work) injury/disease claims was obtained from the National Data Set of Workers’ Compensation-based Statistics during 1 July 2012–30 June 2016. There were 295 serious injury/disease claims in the aquaculture industry and 1780 claims in the agriculture and fishing support service industries. The incidence rate for aquaculture workers was 16.0 per 1000 employees and the frequency rate was 8.5 per million hours worked over the four year period. Musculoskeletal disorders accounted for over one-third of all claims. There has been limited occupational health and safety (OHS) research in the aquaculture industry in Australia and this study represents a first step to quantify and describe the range of occupational hazards present in the industry.",,,,,,,,,,,,,,,,,,,,,,,,,Occupational injury and disease in the Australian aquaculture industry,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
   Abstract
   
      
      This study aimed to evaluate the current status on the use of probiotics, disinfectants and antimicrobials in hatcheries, nurseries and grow‐out farms producing Pangasius catfish (Pangasianodon hypophthalmus) in the Mekong Delta, Vietnam. Semi‐structured interviews were conducted with 83 aquaculture enterprises (15 hatcheries, 32 nurseries and 36 grow‐out farms). Farmers reported use of a total of 24 different antimicrobials, e.g. for treatment of bacillary necrosis and motile aeromonad septicaemia, and a variety of disinfectants, probiotics and nutritional supplements. In contrast to small‐scale farmers, all large‐scale grow‐out farmers studied were certified and therefore had higher levels of formal education and specialized aquaculture training to diagnose and treat diseases. All farmers prepared their own medicated feed with a high risk of treatment failure, negative environmental impact from released antimicrobials and resistance development. Small‐scale farmers were at particular occupational health risks when handling antimicrobials and other chemicals, e.g. mixing medicated feed with bare hands. There is an urgent need to improve knowledge and use innovative approaches, e.g. private‐public partnerships, to assure a prudent use of chemicals, to improve capacity and access to disease diagnosis, particularly for small‐scale grow‐out farmers and nurseries. Efforts to control use of antimicrobials in aquaculture should be coordinated with the livestock and human health sectors taking an One‐Health approach.
      
   
",,,,,,,,,,,,,,,,,,,,,,,,,"An evaluation of fish health‐management practices and occupational health hazards associated with Pangasius catfish (Pangasianodon hypophthalmus) aquaculture in the Mekong Delta, Vietnam
   ",,,,,,,,,,,,,"An evaluation of fish health‐management practices and occupational health hazards associated with Pangasius catfish (Pangasianodon hypophthalmus) aquaculture in the Mekong Delta, Vietnam
   ",,,,,,,,,,,,
,"
   Abstract
   
      
      This study aimed to evaluate the current status on the use of probiotics, disinfectants and antimicrobials in hatcheries, nurseries and grow‐out farms producing Pangasius catfish (Pangasianodon hypophthalmus) in the Mekong Delta, Vietnam. Semi‐structured interviews were conducted with 83 aquaculture enterprises (15 hatcheries, 32 nurseries and 36 grow‐out farms). Farmers reported use of a total of 24 different antimicrobials, e.g. for treatment of bacillary necrosis and motile aeromonad septicaemia, and a variety of disinfectants, probiotics and nutritional supplements. In contrast to small‐scale farmers, all large‐scale grow‐out farmers studied were certified and therefore had higher levels of formal education and specialized aquaculture training to diagnose and treat diseases. All farmers prepared their own medicated feed with a high risk of treatment failure, negative environmental impact from released antimicrobials and resistance development. Small‐scale farmers were at particular occupational health risks when handling antimicrobials and other chemicals, e.g. mixing medicated feed with bare hands. There is an urgent need to improve knowledge and use innovative approaches, e.g. private‐public partnerships, to assure a prudent use of chemicals, to improve capacity and access to disease diagnosis, particularly for small‐scale grow‐out farmers and nurseries. Efforts to control use of antimicrobials in aquaculture should be coordinated with the livestock and human health sectors taking an One‐Health approach.
      
   
","ABSTRACT

Objective: To characterize occupational injuries of aquaculture workers in Washington State.

Methods: We reviewed accepted Washington State workers’ compensation claims from January 1, 2006 to December 31, 2014. Trends in employment, worker demographics (including age, sex, and body mass index), claim rate, and injury characteristics were summarized for accepted claims in the Washington State risk classes that include aquaculture workers.

Results: During the nine-year study period, there were 1,180 accepted claims, 836 (65.1%) were medical-aid only and 344 (26.8%) were compensable. Most commonly reported injury types included being struck by/against an object (n = 420) and work-related musculoskeletal disorders (n = 310). Over the study period, there was no statistically significant change in claim rates in aquaculture (p = 0.77), though they were elevated compared to claim rates for all WA industries combined. A significant upward trend (p = 0.003) in aquaculture employment was observed during our study period.

Conclusions: Given the growth in aquaculture production, and that aquaculture workers in Washington are experiencing higher occupational injury rates compared to other workers in the state, our study suggests that the industry should devote greater attention to prevention of work-related injuries, especially those resulting in being struck by/against objects or work-related musculoskeletal disorders. Enhanced occupational safety and health programs for this industry could help reduce injuries, as well as the cost of workers’ compensation claims.",,,,,,,,,,ABSTRACT,,,,,,,,,,,,,,,Occupational Injuries of Aquaculture Workers: Washington State,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Diseases have been recognized as the major obstacle to the shrimp (Penaeus monodon) and prawn (Macrobrachium rosenbergii) aquaculture production in Bangladesh. This study provides an assessment of shrimp and prawn diseases/syndromes, health management practices, and occupational health hazards associated with the handling of chemical and biological products to prevent and treat shrimp and prawn diseases. A survey was conducted using a semi-structured questionnaire with 380 shrimp and prawn farmers in the southwest of Bangladesh during February and June of 2016. The farms were categorized on the basis of the three cropping patterns: shrimp polyculture, prawn polyculture, and shrimp and prawn polyculture. Eight different diseases and/or symptoms were reported by the surveyed farmers. The white spot disease and the broken antenna and rostrum symptom were the most common in shrimp and prawn species, respectively. In total, 35 chemical and biological products (4 antibiotics, 15 disinfectants, 13 pesticides, 2 feed additives and probiotics) were used to treat and/or prevent diseases in the all farm categories. The major constraints for disease management were limited access to disease diagnostic service, inadequate product application information and lack of knowledge on better management practices. Handling chemicals and preparation of medicated feed with bare hands was identified as a potential occupational health hazard. This study suggests improvements in farmers’ knowledge and skill in disease diagnostics and health management practices, and appropriate handling of potentially hazardous chemicals.",,,,,,,,,,,,,,,,,,,,,,,,,An assessment of health management practices and occupational health hazards in tiger shrimp (Penaeus monodon) and freshwater prawn (Macrobrachium rosenbergii) aquaculture in Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Failure of the blue revolution is a global risk. The international problem is that there is a gap in knowledge exchange between the aquaculture industry, policy makers trying to support aquaculture development and people who depend on aquaculture for a job and/or food source. Thus, governments and international organizations promoting aquaculture as the solution to improving food security, nutrition and income are failing to optimise production of natural aquatic resources.

We identify a “people–policy gap”, and suggest that this is an understudied constraint, which needs to be overcome before worldwide food security can be achieved from aquatic environments. We argue that this gap leads to uneven distribution of benefits, a disconnection between benefits and local needs, and detrimental effects on human health and food security, all of which can have negative repercussions on human communities and ecosystems. In order to address this need, we present an analytical framework to guide context specific, policy-relevant assessments of the social, economic and ecological dimensions of aquaculture on a case-by-case basis. The framework is designed to make best use of existing data and scientific tools for decision-making.

In conclusion, we argue for: equal consideration of ecological, social and economic issues in aquaculture policy-making; pre-emptive identification of likely social impacts; integration of people- and context-specific social framing conditions into planning and policy review; addressing the social disconnection between global consumption and production; and, encouragement of creative combinations of theories and methods to assess and interpret the social dimensions of aquaculture in multiple contexts.",,,,,,,,,,,,,,,,,,,,,,,,,A revolution without people? Closing the people–policy gap in aquaculture development,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Failure of the blue revolution is a global risk. The international problem is that there is a gap in knowledge exchange between the aquaculture industry, policy makers trying to support aquaculture development and people who depend on aquaculture for a job and/or food source. Thus, governments and international organizations promoting aquaculture as the solution to improving food security, nutrition and income are failing to optimise production of natural aquatic resources.

We identify a “people–policy gap”, and suggest that this is an understudied constraint, which needs to be overcome before worldwide food security can be achieved from aquatic environments. We argue that this gap leads to uneven distribution of benefits, a disconnection between benefits and local needs, and detrimental effects on human health and food security, all of which can have negative repercussions on human communities and ecosystems. In order to address this need, we present an analytical framework to guide context specific, policy-relevant assessments of the social, economic and ecological dimensions of aquaculture on a case-by-case basis. The framework is designed to make best use of existing data and scientific tools for decision-making.

In conclusion, we argue for: equal consideration of ecological, social and economic issues in aquaculture policy-making; pre-emptive identification of likely social impacts; integration of people- and context-specific social framing conditions into planning and policy review; addressing the social disconnection between global consumption and production; and, encouragement of creative combinations of theories and methods to assess and interpret the social dimensions of aquaculture in multiple contexts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Failure of the blue revolution is a global risk. The international problem is that there is a gap in knowledge exchange between the aquaculture industry, policy makers trying to support aquaculture development and people who depend on aquaculture for a job and/or food source. Thus, governments and international organizations promoting aquaculture as the solution to improving food security, nutrition and income are failing to optimise production of natural aquatic resources.

We identify a “people–policy gap”, and suggest that this is an understudied constraint, which needs to be overcome before worldwide food security can be achieved from aquatic environments. We argue that this gap leads to uneven distribution of benefits, a disconnection between benefits and local needs, and detrimental effects on human health and food security, all of which can have negative repercussions on human communities and ecosystems. In order to address this need, we present an analytical framework to guide context specific, policy-relevant assessments of the social, economic and ecological dimensions of aquaculture on a case-by-case basis. The framework is designed to make best use of existing data and scientific tools for decision-making.

In conclusion, we argue for: equal consideration of ecological, social and economic issues in aquaculture policy-making; pre-emptive identification of likely social impacts; integration of people- and context-specific social framing conditions into planning and policy review; addressing the social disconnection between global consumption and production; and, encouragement of creative combinations of theories and methods to assess and interpret the social dimensions of aquaculture in multiple contexts.",,,"A scoping project was funded by the Food and Agriculture Organization in 2017 on the health and safety of aquaculture workers. This project developed a template covering basic types of aquaculture production, health and safety hazards and risks, and related data on injuries and occupational ill health, regulations, social welfare conditions, and labour and industry activity in the sector. Profiles using the template were then produced for key aquaculture regions and nations across the globe where information could be obtained. These revealed both the scale and depth of occupational safety and health (OSH) challenges in terms of data gaps, a lack of or poor risk assessment and management, inadequate monitoring and regulation, and limited information generally about aquaculture OSH. Risks are especially high for offshore/marine aquaculture workers. Good practice as well as barriers to improving aquaculture OSH were noted. The findings from the profiles were brought together in an analysis of current knowledge on injury and work-related ill health, standards and regulation, non-work socioeconomic factors affecting aquaculture OSH, and the role of labour and industry in dealing with aquaculture OSH challenges. Some examples of governmental and labour, industry and non-governmental organisation good practice were identified. Some databases on injury and disease in the sector and research initiatives that solved problems were noted. However, there are many challenges especially in rural and remote areas across Asia but also in the northern hemisphere that need to be addressed. Action now is possible based on the knowledge available, with further research an important but secondary objective.",,,,,,,,,,,,,,,,,,,,,,,,,,"The neglected millions: the global state of aquaculture workers’ occupational safety, health and well-being",,,,,,,,,,,,,,,,,,,,,,
