字段1_文本,字段1_链接,字段2,字段3_文本,字段3_链接,字段4,字段5,字段6,字段7_文本,字段7_链接,字段8,字段9,字段10,字段11,字段12,字段13_文本,字段13_链接,字段14_文本,字段14_链接,字段15_文本,字段15_链接,字段16_文本,字段16_链接,字段17_文本,字段17_链接,字段18,字段19,字段20,字段21_文本,字段21_链接,字段22_文本,字段22_链接,字段23,字段24,时间_文本,时间_链接,字段25_文本,字段25_链接,字段26_文本,字段26_链接,字段27,字段28,字段29,字段30,字段31_文本,字段31_链接,字段32,字段33_文本,字段33_链接
[PDF] semanticscholar.org,https://pdfs.semanticscholar.org/1bf3/c687708a231da8f6851457aa95aa459078a3.pdf,[PDF],The effects of working from home on covid-19 infections and production a macroeconomic analysis for germany,https://pdfs.semanticscholar.org/1bf3/c687708a231da8f6851457aa95aa459078a3.pdf,,,"H Fadinger, J Schymik - Covid Economics, 2020 - pdfs.semanticscholar.org",H Fadinger,https://scholar.google.com/citations?user=CLJb1aoAAAAJ&hl=en&oi=sra,,"… Our model identifies the industries and regions with the largest value added gains per worker
sent back to the workplace … Using data on the input-output structure of the German economy and
information on the occupational structure across industries, we evaluate the impact of … 
",worker,occupational,,Cited by 27,"https://scholar.google.com/scholar?cites=2040734267244599849&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:KdoU-AAlUhwJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 5 versions,"https://scholar.google.com/scholar?cluster=2040734267244599849&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",J Schymik,https://scholar.google.com/citations?user=bh2StnIAAAAJ&hl=en&oi=sra,The effects of working from home on covid-19 infections and production a macroeconomic analysis for germany,https://pdfs.semanticscholar.org/1bf3/c687708a231da8f6851457aa95aa459078a3.pdf,,,[PDF] semanticscholar.org,H Fadinger,https://scholar.google.com/citations?user=CLJb1aoAAAAJ&hl=en&oi=sra,J Schymik,https://scholar.google.com/citations?user=bh2StnIAAAAJ&hl=en&oi=sra,"… Our model identifies the industries and regions with the largest value added gains per worker
sent back to the workplace … Using data on the input-output structure of the German economy and
information on the occupational structure across industries, we evaluate the impact of … 
",worker,Cited by 27,"https://scholar.google.com/scholar?cites=2040734267244599849&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:KdoU-AAlUhwJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 5 versions,"https://scholar.google.com/scholar?cluster=2040734267244599849&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,occupational,,[PDF],,,,,
[PDF] smujo.id,https://smujo.id/biodiv/article/download/2544/2245,[PDF],"Feasibility study and carrying capacity of Lake Batur ecosystem to preserve tilapia fish farming in Bali, Indonesia",https://smujo.id/biodiv/article/view/2544,,,"IW Budiasa, IGN Santosa, IGAA Ambarawati… - Biodiversitas Journal of …, 2018 - smujo.id",IW Budiasa,https://scholar.google.com/citations?user=LzyKis8AAAAJ&hl=en&oi=sra,,"… of tilapia fish farming with FNC technology within the lake and to assess the lake carrying capacity
for developing aquaculture including tilapia … up to 5% (83.35 ha) of the total area of Lake Batur
water body, and the existing fish farm was only … Net worker 9 Plot 100,000 900,000 … 
",aquaculture,fish,farm,Cited by 6,"https://scholar.google.com/scholar?cites=4871226093272410596&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:5KkdrlISmkMJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 7 versions,"https://scholar.google.com/scholar?cluster=4871226093272410596&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",IGN Santosa,https://scholar.google.com/citations?user=ncfUFREAAAAJ&hl=en&oi=sra,"Feasibility study and carrying capacity of Lake Batur ecosystem to preserve tilapia fish farming in Bali, Indonesia",https://smujo.id/biodiv/article/view/2544,,,[PDF] smujo.id,IW Budiasa,https://scholar.google.com/citations?user=LzyKis8AAAAJ&hl=en&oi=sra,IGN Santosa,https://scholar.google.com/citations?user=ncfUFREAAAAJ&hl=en&oi=sra,"… of tilapia fish farming with FNC technology within the lake and to assess the lake carrying capacity
for developing aquaculture including tilapia … up to 5% (83.35 ha) of the total area of Lake Batur
water body, and the existing fish farm was only … Net worker 9 Plot 100,000 900,000 … 
",aquaculture,Cited by 6,"https://scholar.google.com/scholar?cites=4871226093272410596&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:5KkdrlISmkMJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 7 versions,"https://scholar.google.com/scholar?cluster=4871226093272410596&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,fish,farm,,IGAA Ambarawati,https://scholar.google.com/citations?user=p1W6UXUAAAAJ&hl=en&oi=sra,worker,,
[HTML] nature.com,https://www.nature.com/articles/s41467-018-03104-3,[HTML],Plastic pollution of the world's seas and oceans as a contemporary challenge in ocean governance,https://www.nature.com/articles/s41467-018-03104-3,,,"M Haward - Nature communications, 2018 - nature.com",M Haward,https://scholar.google.com/citations?user=_GaMiNUAAAAJ&hl=en&oi=sra,,"… The sources of such plastics are equally diverse, from commercial and recreational ships and
vessels, fishing and aquaculture operations (rope, waste, fishing gear, nets) to land based sources,
street litter, dumping, packaging (including plastic bags), plastic sheeting and … 
",aquaculture,,,Cited by 178,"https://scholar.google.com/scholar?cites=14019361465792047340&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:7KhVsvnGjsIJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=14019361465792047340&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,Plastic pollution of the world's seas and oceans as a contemporary challenge in ocean governance,https://www.nature.com/articles/s41467-018-03104-3,,,"[HTML] nature.com
Full View",M Haward,https://scholar.google.com/citations?user=_GaMiNUAAAAJ&hl=en&oi=sra,,,"… The sources of such plastics are equally diverse, from commercial and recreational ships and
vessels, fishing and aquaculture operations (rope, waste, fishing gear, nets) to land based sources,
street litter, dumping, packaging (including plastic bags), plastic sheeting and … 
",aquaculture,Cited by 178,"https://scholar.google.com/scholar?cites=14019361465792047340&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:7KhVsvnGjsIJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=14019361465792047340&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[HTML],,,,Full View,"https://scholar.google.com/scholar?output=instlink&q=info:7KhVsvnGjsIJ:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021&scillfp=16233994460495981642&oi=lle"
[HTML] nature.com,https://www.nature.com/articles/srep34216,[HTML],Characterization of toxin genes and antimicrobial susceptibility of Staphylococcus aureus isolates in fishery products in Iran,https://www.nature.com/articles/srep34216,,,"N Arfatahery, A Davoodabadi, T Abedimohtasab - Scientific reports, 2016 - nature.com",,,,"… Given the frequent outbreaks of enterotoxigenic MRSA, it is necessary to make revisions to
mandatory programmes to facilitate improved hygiene practices during fishing, aquaculture,
processing and sales to prevent the contamination of fishery products in Iran. Download PDF … 
",aquaculture,,,Cited by 27,"https://scholar.google.com/scholar?cites=18434681559983634115&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:w7ZEKjUl1f8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 7 versions,"https://scholar.google.com/scholar?cluster=18434681559983634115&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,Characterization of toxin genes and antimicrobial susceptibility of Staphylococcus aureus isolates in fishery products in Iran,https://www.nature.com/articles/srep34216,,,[HTML] nature.com,,,,,"… Given the frequent outbreaks of enterotoxigenic MRSA, it is necessary to make revisions to
mandatory programmes to facilitate improved hygiene practices during fishing, aquaculture,
processing and sales to prevent the contamination of fishery products in Iran. Download PDF … 
",aquaculture,Cited by 27,"https://scholar.google.com/scholar?cites=18434681559983634115&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:w7ZEKjUl1f8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 7 versions,"https://scholar.google.com/scholar?cluster=18434681559983634115&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[HTML],,,,,
,,,The new public health.,https://www.cabdirect.org/cabdirect/abstract/20173272776,,,F Baum - 2016 - cabdirect.org,F Baum,https://scholar.google.com/citations?user=NUHW5P4AAAAJ&hl=en&oi=sra,,"This fourth edition of Fran Baum's The New Public Health is the most comprehensive book
available on the new public health. It offers readers the opportunity to gain a sense of the scope
of the new public health visions, and combines theoretical and practical material to assist with … 
",,,,Cited by 1512,"https://scholar.google.com/scholar?cites=9742245791058762327&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:VxqaKu5oM4cJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 3 versions,"https://scholar.google.com/scholar?cluster=9742245791058762327&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,The new public health.,https://www.cabdirect.org/cabdirect/abstract/20173272776,,,F Baum - 2016 - cabdirect.org,F Baum,https://scholar.google.com/citations?user=NUHW5P4AAAAJ&hl=en&oi=sra,,,"This fourth edition of Fran Baum's The New Public Health is the most comprehensive book
available on the new public health. It offers readers the opportunity to gain a sense of the scope
of the new public health visions, and combines theoretical and practical material to assist with … 
",,Cited by 1512,"https://scholar.google.com/scholar?cites=9742245791058762327&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:VxqaKu5oM4cJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 3 versions,"https://scholar.google.com/scholar?cluster=9742245791058762327&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[BOOK],,,,,
[HTML] nature.com,https://www.nature.com/articles/s41598-018-23962-7,[HTML],Poultry hatcheries as potential reservoirs for antimicrobial-resistant Escherichia coli: a risk to public health and food safety,https://www.nature.com/articles/s41598-018-23962-7,,,"KM Osman, AD Kappell, M Elhadidy, F ElMougy… - Scientific reports, 2018 - nature.com",AD Kappell,https://scholar.google.com/citations?user=t-ryaJQAAAAJ&hl=en&oi=sra,,"… Hierarchical clustering of E. coli isolates based on their phenotypic and genotypic profiles revealed
separation of the majority of isolates from hatchlings and the hatchery environments, suggesting
that hatchling and environmental isolates may have different origins … 
",hatchery,,,Cited by 33,"https://scholar.google.com/scholar?cites=11232836185660603765&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:dT10Kv8M45sJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=11232836185660603765&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",M Elhadidy,https://scholar.google.com/citations?user=lX9OIzsAAAAJ&hl=en&oi=sra,Poultry hatcheries as potential reservoirs for antimicrobial-resistant Escherichia coli: a risk to public health and food safety,https://www.nature.com/articles/s41598-018-23962-7,,,[HTML] nature.com,AD Kappell,https://scholar.google.com/citations?user=t-ryaJQAAAAJ&hl=en&oi=sra,M Elhadidy,https://scholar.google.com/citations?user=lX9OIzsAAAAJ&hl=en&oi=sra,"… Hierarchical clustering of E. coli isolates based on their phenotypic and genotypic profiles revealed
separation of the majority of isolates from hatchlings and the hatchery environments, suggesting
that hatchling and environmental isolates may have different origins … 
",hatchery,Cited by 33,"https://scholar.google.com/scholar?cites=11232836185660603765&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:dT10Kv8M45sJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=11232836185660603765&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[HTML],,,,,
[PDF] researchgate.net,https://www.researchgate.net/profile/Renata_Reis2/publication/262258519_The_efficiency_of_tubular_netting_method_of_cultivation_for_Kappaphycus_alvarezii_Rhodophyta_Gigartinales_on_the_southeastern_Brazilian_coast/links/53e0f19b0cf24f90ff60c39e/The-efficiency-of-tubular-netting-method-of-cultivation-for-Kappaphycus-alvarezii-Rhodophyta-Gigartinales-on-the-southeastern-Brazilian-coast.pdf,[PDF],"The efficiency of tubular netting method of cultivation for Kappaphycus alvarezii (Rhodophyta, Gigartinales) on the southeastern Brazilian coast",https://link.springer.com/article/10.1007/s10811-014-0330-6,,,"RP Reis, RR das Chagas Pereira… - Journal of applied …, 2015 - Springer",RP Reis,https://scholar.google.com/citations?user=FjwrmuwAAAAJ&hl=en&oi=sra,,"… The higher farming cost was due to worker costs, and reducing this cost was desirable. Hurtado
et al … Ask EI, Azanza RV (2002) Advances in cultivation technology of commercial eucheumatoid
species: a review with suggestions for future research. Aquaculture 206:257–277 … 
",worker,Aquaculture,,Cited by 20,"https://scholar.google.com/scholar?cites=14923396872368446849&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:gV2yS2OOGs8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=14923396872368446849&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",RR das Chagas Pereira,https://scholar.google.com/citations?user=wcSz0QMAAAAJ&hl=en&oi=sra,"The efficiency of tubular netting method of cultivation for Kappaphycus alvarezii (Rhodophyta, Gigartinales) on the southeastern Brazilian coast",https://link.springer.com/article/10.1007/s10811-014-0330-6,,,[PDF] researchgate.net,RP Reis,https://scholar.google.com/citations?user=FjwrmuwAAAAJ&hl=en&oi=sra,RR das Chagas Pereira,https://scholar.google.com/citations?user=wcSz0QMAAAAJ&hl=en&oi=sra,"… The higher farming cost was due to worker costs, and reducing this cost was desirable. Hurtado
et al … Ask EI, Azanza RV (2002) Advances in cultivation technology of commercial eucheumatoid
species: a review with suggestions for future research. Aquaculture 206:257–277 … 
",worker,Cited by 20,"https://scholar.google.com/scholar?cites=14923396872368446849&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:gV2yS2OOGs8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=14923396872368446849&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,Aquaculture,,,,,,,
,,,"Resilience and shifts in agro-ecosystems facing increasing sea-level rise and salinity intrusion in Ben Tre Province, Mekong Delta",https://link.springer.com/article/10.1007/s10584-014-1113-4,,,"FG Renaud, TTH Le, C Lindener, VT Guong… - Climatic Change, 2015 - Springer",FG Renaud,https://scholar.google.com/citations?user=dHQELIUAAAAJ&hl=en&oi=sra,,"… In 2010 agricultural and aquaculture products contributed 59 % of the Thanh Phu district income
(Thanh Phu MPSED 2010) … According to our FGD and household interviews, the number of people
migrating to cities for job opportunities has increased and almost all households … 
",aquaculture,job,,Cited by 95,"https://scholar.google.com/scholar?cites=18435773481565070411&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:S6RA-E0G2f8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 13 versions,"https://scholar.google.com/scholar?cluster=18435773481565070411&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,"Resilience and shifts in agro-ecosystems facing increasing sea-level rise and salinity intrusion in Ben Tre Province, Mekong Delta",https://link.springer.com/article/10.1007/s10584-014-1113-4,,,"FG Renaud, TTH Le, C Lindener, VT Guong… - Climatic Change, 2015 - Springer",FG Renaud,https://scholar.google.com/citations?user=dHQELIUAAAAJ&hl=en&oi=sra,,,"… In 2010 agricultural and aquaculture products contributed 59 % of the Thanh Phu district income
(Thanh Phu MPSED 2010) … According to our FGD and household interviews, the number of people
migrating to cities for job opportunities has increased and almost all households … 
",aquaculture,Cited by 95,"https://scholar.google.com/scholar?cites=18435773481565070411&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:S6RA-E0G2f8J:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 13 versions,"https://scholar.google.com/scholar?cluster=18435773481565070411&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,job,,,,,,,
[PDF] wiley.com,https://sfamjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.13931,[PDF],Relatedness of wildlife and livestock avian isolates of the nosocomial pathogen Acinetobacter baumannii to lineages spread in hospitals worldwide,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.13931,,,"G Wilharm, E Skiebe, PG Higgins… - Environmental …, 2017 - Wiley Online Library",G Wilharm,https://scholar.google.com/citations?user=589N8xAAAAAJ&hl=en&oi=sra,,"… Search for more papers by this author. Paul Brauner Federal Institute for Occupational Safety
and Health (BAuA), Nöldnerstr … Search for more papers by this author. Udo Jäckel Federal
Institute for Occupational Safety and Health (BAuA), Nöldnerstr … 
",Occupational,Occupational,,Cited by 31,"https://scholar.google.com/scholar?cites=1931244144453943885&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:TQK7NFEozRoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=1931244144453943885&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",PG Higgins,https://scholar.google.com/citations?user=ckSPNc4AAAAJ&hl=en&oi=sra,Relatedness of wildlife and livestock avian isolates of the nosocomial pathogen Acinetobacter baumannii to lineages spread in hospitals worldwide,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.13931,,,[PDF] wiley.com,G Wilharm,https://scholar.google.com/citations?user=589N8xAAAAAJ&hl=en&oi=sra,PG Higgins,https://scholar.google.com/citations?user=ckSPNc4AAAAJ&hl=en&oi=sra,"… Search for more papers by this author. Paul Brauner Federal Institute for Occupational Safety
and Health (BAuA), Nöldnerstr … Search for more papers by this author. Udo Jäckel Federal
Institute for Occupational Safety and Health (BAuA), Nöldnerstr … 
",Occupational,Cited by 31,"https://scholar.google.com/scholar?cites=1931244144453943885&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:TQK7NFEozRoJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 9 versions,"https://scholar.google.com/scholar?cluster=1931244144453943885&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",Acinetobacter baumannii,Occupational,,,,,,,
[HTML] nature.com,https://www.nature.com/articles/s41598-018-23986-z,[HTML],"Characterization of Population Genetic Structure of red swamp crayfish, Procambarus clarkii, in China",https://www.nature.com/articles/s41598-018-23986-z,,,"S Yi, Y Li, L Shi, L Zhang, Q Li, J Chen - Scientific reports, 2018 - nature.com",S Yi,https://scholar.google.com/citations?user=YU5c1MIAAAAJ&hl=en&oi=sra,,"… This study provide a better understanding of the population genetic structure and demographic
history of P. clarkii populations in China, inferring that anthropogenic factors (aquaculture or by
accident) and ecological factors (eg, complicated topography and climatic environment … 
",aquaculture,,,Cited by 22,"https://scholar.google.com/scholar?cites=9503541026450276355&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:A4DrLTZc44MJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=9503541026450276355&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,"Characterization of Population Genetic Structure of red swamp crayfish, Procambarus clarkii, in China",https://www.nature.com/articles/s41598-018-23986-z,,,[HTML] nature.com,S Yi,https://scholar.google.com/citations?user=YU5c1MIAAAAJ&hl=en&oi=sra,,,"… This study provide a better understanding of the population genetic structure and demographic
history of P. clarkii populations in China, inferring that anthropogenic factors (aquaculture or by
accident) and ecological factors (eg, complicated topography and climatic environment … 
",aquaculture,Cited by 22,"https://scholar.google.com/scholar?cites=9503541026450276355&as_sdt=2005&sciodt=0,5&hl=en",Related articles,"https://scholar.google.com/scholar?q=related:A4DrLTZc44MJ:scholar.google.com/&scioq=%E2%80%9Caquaculture%E2%80%9D+OR+%E2%80%9CHatchery%E2%80%9D+OR+%E2%80%9Cfish+farm%E2%80%9D+occupational+OR+worker+OR+job&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",All 11 versions,"https://scholar.google.com/scholar?cluster=9503541026450276355&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2021",,,,[HTML],,,,,
