,cate2,paper_numbers,paper_index
0,Diving,1,[243]
1,Compression Disease,0,[]
2,Epidemiologic,11,"[26, 114, 116, 289, 374, 375, 376, 377, 512, 513, 620]"
3,Skin Disease,0,[]
4,Musculoskeletal symptoms,0,[]
5,Noise,5,"[0, 10, 17, 243, 426]"
6,Noise Control,0,[]
7,Hearing Loss,7,"[238, 239, 240, 241, 242, 243, 426]"
8,Visual Health,0,[]
9,Eye Health,0,[]
10,Oral Health,0,[]
11,Respiratory system,2,"[390, 400]"
12,Asthma,11,"[0, 243, 255, 256, 257, 258, 283, 286, 287, 293, 315]"
13,Lung Cancer,0,[]
14,HIV,1,[570]
15,Drug,23,"[20, 26, 36, 52, 94, 114, 222, 223, 231, 232, 304, 305, 306, 307, 308, 482, 483, 491, 492, 493, 567, 568, 569]"
16,Opioid,0,[]
17,Violence,4,"[258, 265, 268, 469]"
18,Gender Bias,0,[]
19,Algae,19,"[72, 100, 134, 135, 136, 137, 138, 139, 148, 314, 379, 380, 381, 485, 492, 507, 596, 597, 598]"
20,Antibiotic,32,"[6, 20, 26, 33, 34, 36, 40, 57, 94, 99, 100, 101, 102, 115, 127, 133, 141, 169, 170, 171, 262, 355, 368, 389, 413, 492, 549, 564, 565, 567, 568, 569]"
21,Cardiometabolic Risks,0,[]
