Abstract,Keywords,Title,Urls
"The last decade has seen a sharp increase in the number of scientific publications describing physiological and pathological functions of extracellular vesicles (EVs), a collective term covering various subtypes of cell-released, membranous structures, called exosomes, microvesicles, microparticles, ectosomes, oncosomes, apoptotic bodies, and many other names. However, specific issues arise when working with these entities, whose size and amount often make them difficult to obtain as relatively pure preparations, and to characterize properly. The International Society for Extracellular Vesicles (ISEV) proposed Minimal Information for Studies of Extracellular Vesicles (""MISEV"") guidelines for the field in 2014. We now update these ""MISEV2014"" guidelines based on evolution of the collective knowledge in the last four years. An important point to consider is that ascribing a specific function to EVs in general, or to subtypes of EVs, requires reporting of specific information beyond mere description of function in a crude, potentially contaminated, and heterogeneous preparation. For example, claims that exosomes are endowed with exquisite and specific activities remain difficult to support experimentally, given our still limited knowledge of their specific molecular machineries of biogenesis and release, as compared with other biophysically similar EVs. The MISEV2018 guidelines include tables and outlines of suggested protocols and steps to follow to document specific EV-associated functional activities. Finally, a checklist is provided with summaries of key points.","
      
        
          Keywords:
        
      
      ectosomes; exosomes; extracellular vesicles; guidelines; microparticles; microvesicles; minimal information requirements; reproducibility; rigor; standardization.
    ",Minimal information for studies of extracellular vesicles 2018 (MISEV2018): a position statement of the International Society for Extracellular Vesicles and update of the MISEV2014 guidelines,https://pubmed.ncbi.nlm.nih.gov/30637094/
"Background:
        
      
      The agriculture, forestry and fishing industry sector has high rates of occupational injuries. Fishing has globally particularly high occupational fatality rates, but injuries and illnesses to people working in its sub-sectors, aquaculture and fish farming, are not well understood.
    
  

  


              
                


  
    
      
        
          Materials and methods:
        
      
      This study characterised injuries and occupational diseases to fish farmers and people employed on fish farms in Finland using national employment and accident insurance (workers' compensation) data.
    
  

  


              
                


  
    
      
        
          Results:
        
      
      A total of 392 injuries and 18 occupational diseases were compensated during 1996 to 2015 to fish farmers and people employed on fish farms in Finland. The average injury rate was 3.2 injuries per 100 employed persons with no significant trend over time. Two of the injuries were fatal. Injured persons were primarily male (87.2%), in 45-54 year age group (39.1%), and working in coastal areas (49%). Com- mon injury characteristics included: incident type: slips, trips, and falls (37%); location: building, structure or ground level surface (28%); injured body part: hand or finger (25%); type of injury: dislocation, sprain, strain (35%); and lost worktime: 1 to 2 weeks (26.9%). Seven out of 18 occupational diseases occurred to women, most resulting in cumulative trauma from fish processing.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      The injury rate in fish farming corresponds to rate in all industries combined in Finland, and is higher than the rate in available Nordic statistics on fish farming. Fish farming injuries could be reduced further by slip resistant surfaces, protection of hands and fingers and ergonomics in processing.","
      
        
          Keywords:
        
      
      aquaculture; occupational diseases; occupational injuries.
    ",Occupational injuries and diseases in fish farming in Finland 1996-2015,https://pubmed.ncbi.nlm.nih.gov/30931517/
"Fishing is a dangerous and financially risky way to make a living, but it attracts many participants that prefer it to higher paying and safer jobs. Based on a survey of over 1400 U.S. West Coast fishing vessel owners we use factor analysis and structural equation modeling to quantify distinct latent variables representing job satisfaction related to non-monetary versus monetary aspects of fishing and measures of identity and social capital associated with being a fisher. We show that these latent variables have distinct effects on (stated) fishery participation behavior and that higher non-monetary job satisfaction, social capital, and identity, are associated with a willingness to forgo higher income to be a fisher. Understanding how these factors affect and are affected by participation in fisheries could be important to increase benefits from fisheries and to ensure sustainability of management regimes that rely on indirect controls on effort to limit catch.","
      
        
          Keywords:
        
      
      Factor analysis; Fisheries; Identity; Job satisfaction; Social capital; Well being.
    ","
  
    
    
    
    
      
  Fishing to live or living to fish: Job satisfaction and identity of west coast fishermen


    
  
",https://pubmed.ncbi.nlm.nih.gov/31161600/
"Objectives: Aquaculture encompasses a variety of species in both freshwater and marine settings and can combine elements of agriculture and fishing, two recognized hazardous occupations. Efforts are underway to expand the aquaculture sector in the United States (U.S.), and should be informed by occupational safety and health (OSH) research. The objectives of this review paper are to: i) describe the U.S. aquaculture sector, ii) summarize statistics, peer-reviewed studies, and reports focused on U.S. aquaculture OSH, and iii) describe the policy landscape specific to U.S. aquaculture OSH.Methods: Literature searches employed databases and Internet search engines to identify relevant peer-reviewed articles, reports, and other resources. Due to the expected U.S. expansion of marine aquaculture and paucity of peer-reviewed U.S.-based OSH literature in this sector, additional searches for international research on marine aquaculture were conducted.Results: The U.S. Bureau of Labor Statistics estimated high rates of illness and injury among U.S. aquaculture workers in 2014 and 2015. Peer-reviewed literature on aquaculture OSH identified numerous physical, chemical, and biological OSH risks depending on production methods and settings. Significant policy gaps exist regarding U.S. aquaculture OSH surveillance, reporting, and regulation.Conclusion: This review identifies a critical need for research, surveillance, and best practices information, specific to the major types of aquaculture in the U.S., to augment and inform worker safety and health efforts in this expanding sector.","
      
        
          Keywords:
        
      
      Aquaculture; agriculture; fish farm; hatchery; worker safety.
    ","
  
    
    
    
    
      
  Occupational Safety and Health in U.S. Aquaculture: A Review


    
  
",https://pubmed.ncbi.nlm.nih.gov/31327304/
"Objectives: Aquaculture encompasses a variety of species in both freshwater and marine settings and can combine elements of agriculture and fishing, two recognized hazardous occupations. Efforts are underway to expand the aquaculture sector in the United States (U.S.), and should be informed by occupational safety and health (OSH) research. The objectives of this review paper are to: i) describe the U.S. aquaculture sector, ii) summarize statistics, peer-reviewed studies, and reports focused on U.S. aquaculture OSH, and iii) describe the policy landscape specific to U.S. aquaculture OSH.Methods: Literature searches employed databases and Internet search engines to identify relevant peer-reviewed articles, reports, and other resources. Due to the expected U.S. expansion of marine aquaculture and paucity of peer-reviewed U.S.-based OSH literature in this sector, additional searches for international research on marine aquaculture were conducted.Results: The U.S. Bureau of Labor Statistics estimated high rates of illness and injury among U.S. aquaculture workers in 2014 and 2015. Peer-reviewed literature on aquaculture OSH identified numerous physical, chemical, and biological OSH risks depending on production methods and settings. Significant policy gaps exist regarding U.S. aquaculture OSH surveillance, reporting, and regulation.Conclusion: This review identifies a critical need for research, surveillance, and best practices information, specific to the major types of aquaculture in the U.S., to augment and inform worker safety and health efforts in this expanding sector.",,The Lancet Countdown on health and climate change: from 25 years of inaction to a global transformation for public health,https://pubmed.ncbi.nlm.nih.gov/29096948/
"Objectives: Aquaculture encompasses a variety of species in both freshwater and marine settings and can combine elements of agriculture and fishing, two recognized hazardous occupations. Efforts are underway to expand the aquaculture sector in the United States (U.S.), and should be informed by occupational safety and health (OSH) research. The objectives of this review paper are to: i) describe the U.S. aquaculture sector, ii) summarize statistics, peer-reviewed studies, and reports focused on U.S. aquaculture OSH, and iii) describe the policy landscape specific to U.S. aquaculture OSH.Methods: Literature searches employed databases and Internet search engines to identify relevant peer-reviewed articles, reports, and other resources. Due to the expected U.S. expansion of marine aquaculture and paucity of peer-reviewed U.S.-based OSH literature in this sector, additional searches for international research on marine aquaculture were conducted.Results: The U.S. Bureau of Labor Statistics estimated high rates of illness and injury among U.S. aquaculture workers in 2014 and 2015. Peer-reviewed literature on aquaculture OSH identified numerous physical, chemical, and biological OSH risks depending on production methods and settings. Significant policy gaps exist regarding U.S. aquaculture OSH surveillance, reporting, and regulation.Conclusion: This review identifies a critical need for research, surveillance, and best practices information, specific to the major types of aquaculture in the U.S., to augment and inform worker safety and health efforts in this expanding sector.","Keywords:
        
      
      LC3; autolysosome; autophagosome; chaperone-mediated autophagy; flux; lysosome; macroautophagy; phagophore; stress; vacuole.",Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition),https://pubmed.ncbi.nlm.nih.gov/26799652/
"Background:
        
      
      Pollution - unwanted waste released to air, water, and land by human activity - is the largest environmental cause of disease in the world today. It is responsible for an estimated nine million premature deaths per year, enormous economic losses, erosion of human capital, and degradation of ecosystems. Ocean pollution is an important, but insufficiently recognized and inadequately controlled component of global pollution. It poses serious threats to human health and well-being. The nature and magnitude of these impacts are only beginning to be understood.
    
  

  


              
                


  
    
      
        
          Goals:
        
      
      (1) Broadly examine the known and potential impacts of ocean pollution on human health. (2) Inform policy makers, government leaders, international organizations, civil society, and the global public of these threats. (3) Propose priorities for interventions to control and prevent pollution of the seas and safeguard human health.
    
  

  


              
                


  
    
      
        
          Methods:
        
      
      Topic-focused reviews that examine the effects of ocean pollution on human health, identify gaps in knowledge, project future trends, and offer evidence-based guidance for effective intervention.
    
  

  


              
                


  
    
      
        
          Environmental findings:
        
      
      Pollution of the oceans is widespread, worsening, and in most countries poorly controlled. It is a complex mixture of toxic metals, plastics, manufactured chemicals, petroleum, urban and industrial wastes, pesticides, fertilizers, pharmaceutical chemicals, agricultural runoff, and sewage. More than 80% arises from land-based sources. It reaches the oceans through rivers, runoff, atmospheric deposition and direct discharges. It is often heaviest near the coasts and most highly concentrated along the coasts of low- and middle-income countries. Plastic is a rapidly increasing and highly visible component of ocean pollution, and an estimated 10 million metric tons of plastic waste enter the seas each year. Mercury is the metal pollutant of greatest concern in the oceans; it is released from two main sources - coal combustion and small-scale gold mining. Global spread of industrialized agriculture with increasing use of chemical fertilizer leads to extension of Harmful Algal Blooms (HABs) to previously unaffected regions. Chemical pollutants are ubiquitous and contaminate seas and marine organisms from the high Arctic to the abyssal depths.
    
  

  


              
                


  
    
      
        
          Ecosystem findings:
        
      
      Ocean pollution has multiple negative impacts on marine ecosystems, and these impacts are exacerbated by global climate change. Petroleum-based pollutants reduce photosynthesis in marine microorganisms that generate oxygen. Increasing absorption of carbon dioxide into the seas causes ocean acidification, which destroys coral reefs, impairs shellfish development, dissolves calcium-containing microorganisms at the base of the marine food web, and increases the toxicity of some pollutants. Plastic pollution threatens marine mammals, fish, and seabirds and accumulates in large mid-ocean gyres. It breaks down into microplastic and nanoplastic particles containing multiple manufactured chemicals that can enter the tissues of marine organisms, including species consumed by humans. Industrial releases, runoff, and sewage increase frequency and severity of HABs, bacterial pollution, and anti-microbial resistance. Pollution and sea surface warming are triggering poleward migration of dangerous pathogens such as the Vibrio species. Industrial discharges, pharmaceutical wastes, pesticides, and sewage contribute to global declines in fish stocks.
    
  

  


              
                


  
    
      
        
          Human health findings:
        
      
      Methylmercury and PCBs are the ocean pollutants whose human health effects are best understood. Exposures of infants in utero to these pollutants through maternal consumption of contaminated seafood can damage developing brains, reduce IQ and increase children's risks for autism, ADHD and learning disorders. Adult exposures to methylmercury increase risks for cardiovascular disease and dementia. Manufactured chemicals - phthalates, bisphenol A, flame retardants, and perfluorinated chemicals, many of them released into the seas from plastic waste - can disrupt endocrine signaling, reduce male fertility, damage the nervous system, and increase risk of cancer. HABs produce potent toxins that accumulate in fish and shellfish. When ingested, these toxins can cause severe neurological impairment and rapid death. HAB toxins can also become airborne and cause respiratory disease. Pathogenic marine bacteria cause gastrointestinal diseases and deep wound infections. With climate change and increasing pollution, risk is high that Vibrio infections, including cholera, will increase in frequency and extend to new areas. All of the health impacts of ocean pollution fall disproportionately on vulnerable populations in the Global South - environmental injustice on a planetary scale.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      Ocean pollution is a global problem. It arises from multiple sources and crosses national boundaries. It is the consequence of reckless, shortsighted, and unsustainable exploitation of the earth's resources. It endangers marine ecosystems. It impedes the production of atmospheric oxygen. Its threats to human health are great and growing, but still incompletely understood. Its economic costs are only beginning to be counted.Ocean pollution can be prevented. Like all forms of pollution, ocean pollution can be controlled by deploying data-driven strategies based on law, policy, technology, and enforcement that target priority pollution sources. Many countries have used these tools to control air and water pollution and are now applying them to ocean pollution. Successes achieved to date demonstrate that broader control is feasible. Heavily polluted harbors have been cleaned, estuaries rejuvenated, and coral reefs restored.Prevention of ocean pollution creates many benefits. It boosts economies, increases tourism, helps restore fisheries, and improves human health and well-being. It advances the Sustainable Development Goals (SDG). These benefits will last for centuries.
    
  

  


              
                


  
    
      
        
          Recommendations:
        
      
      World leaders who recognize the gravity of ocean pollution, acknowledge its growing dangers, engage civil society and the global public, and take bold, evidence-based action to stop pollution at source will be critical to preventing ocean pollution and safeguarding human health.Prevention of pollution from land-based sources is key. Eliminating coal combustion and banning all uses of mercury will reduce mercury pollution. Bans on single-use plastic and better management of plastic waste reduce plastic pollution. Bans on persistent organic pollutants (POPs) have reduced pollution by PCBs and DDT. Control of industrial discharges, treatment of sewage, and reduced applications of fertilizers have mitigated coastal pollution and are reducing frequency of HABs. National, regional and international marine pollution control programs that are adequately funded and backed by strong enforcement have been shown to be effective. Robust monitoring is essential to track progress.Further interventions that hold great promise include wide-scale transition to renewable fuels; transition to a circular economy that creates little waste and focuses on equity rather than on endless growth; embracing the principles of green chemistry; and building scientific capacity in all countries.Designation of Marine Protected Areas (MPAs) will safeguard critical ecosystems, protect vulnerable fish stocks, and enhance human health and well-being. Creation of MPAs is an important manifestation of national and international commitment to protecting the health of the seas.",,"
  
    
    
    
    
      
  Human Health and Ocean Pollution


    
  
",https://pubmed.ncbi.nlm.nih.gov/33354517/
"
              
                


  
    
      
      Aquaculture has many occupational hazards, including those that are physical, chemical, biological, ergonomic, and mechanical. The risks in aquaculture are inherent, as this activity requires particular practices. The objective of the present study was to show the risks associated with the aquaculture sector and present a critical overview on the Brazilian public policies concerning aquaculture occupational health. Methods include online research involved web searches and electronic databases including Pubmed, Google Scholar, Scielo and government databases. We conducted a careful revision of Brazilian labor laws related to occupational health and safety, rural workers, and aquaculture. The results and conclusion support the idea that aquaculture requires specific and well-established industry programs and policies, especially in developing countries. Aquaculture still lacks scientific research, strategies, laws, and public policies to boost the sector with regard to occupational health and safety. The establishment of a safe workplace in aquaculture in developing countries remains a challenge for all involved in employer-employee relationships.
    
  

  


              
            ","
      
        
          Keywords:
        
      
      Agricultural workers; Brazilian law; aquaculture; occupational health; occupational risks.
    ","
  
    
    
    
    
      
  Occupational Health and Safety in Aquaculture: Insights on Brazilian Public Policies


    
  
",https://pubmed.ncbi.nlm.nih.gov/28129078/
"Objectives: In 2017 the Food and Agriculture Organization (FAO) Committee on Fisheries committed to prioritize occupational safety and health issues in aquaculture (AOSH). An international team was established to synthesize OSH knowledge concerning more than 19 million, often vulnerable, aquaculture workers found globally.Methods: The study was conducted as a desktop scoping exercise using both peer-reviewed and gray literature and the knowledge and expertize of an international panel. Collated information used a standard proforma. Panel members developed draft national and regional AOSH profiles outlining occupational hazards contributing to occupational injuries, diseases, and known solutions. These were work-shopped and refined after gathering additional information and used to compile the first global scoping review report on AOSH.Results: Synthesized results revealed multiple hazards, significant global knowledge gaps and some successful and unsuccessful global, national and industry-specific AOSH policies, practices and standards along the primary supply chain, in marine and freshwater contexts. Some constructive initiatives by the International Labor Organization (ILO) and FAO, industry, labor and civil society groups in a range of employment and geographical settings and across diverse populations of workers were identified.Conclusion: Global commitment to AOSH should be given the same focus as product quality, biosecurity, food safety and environmental sustainability in the sector. This needs development and implementation of integrated AOSH actions appropriate for diverse settings especially in low and middle-income countries encompassing greater uptake of international codes, better risk assessment and OSH management, adoption of technological innovations, effective OSH regulation and enforcement, adequate resources, training and information.","
      
        
          Keywords:
        
      
      Global aquaculture occupational health safety.
    ","
  
    
    
    
    
      
  Scoping Global Aquaculture Occupational Safety and Health


    
  
",https://pubmed.ncbi.nlm.nih.gov/31448696/
"Background:
        
      
      The article is based on a review and follow-up of the citations of 13 epidemiological studies that aimed to improve maritime health and safety. While it's well-recognised that epidemiology is needed in occupational health and safety, the main research question: ""How can epidemiology help workers to return healthy from the sea"" was unanswered.
    
  

  


              
                


  
    
      
        
          Materials and methods:
        
      
      The 13 articles were selected as a representative sample of different epidemiological design studies intended to contribute to improving safety management in fishing, merchant shipping and offshore industry. The PubMed, Research Gate, Cochrane-Library and Google Scholar were searched for authors that had cited our articles by using full bibliographic information and the results analysed.
    
  

  


              
                


  
    
      
        
          Results:
        
      
      In all, 213 citation records were identified. After duplicates and records with insufficient information were removed, 123 full-text articles were eligible for evaluation with answers to the research questions: how did other authors use the studies, how has the injury epidemiology been developed, which recommendations are given for new policies and new studies and how can epidemiology help workers return safe and healthy from the sea?
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      The answer to the main research question is yes, epidemiological studies are not only useful but a necessary component by providing the needed evidence for successful prevention programmes.","
      
        
          Keywords:
        
      
      citations; epidemiology; fishing; injury; maritime; seafaring.
    ","
  
    
    
    
    
      
  Follow-up of citations of maritime epidemiological injury studies


    
  
",https://pubmed.ncbi.nlm.nih.gov/32212150/
