,cate1,cate2,paper_numbers,paper_index
0,Aquaculture,Diving,0,[]
1,Aquaculture,Compression Disease,0,[]
2,Aquaculture,Epidemiologic,1,[178]
3,Aquaculture,Skin Disease,0,[]
4,Aquaculture,Musculoskeletal symptoms,0,[]
5,Aquaculture,Noise,2,"[90, 229]"
6,Aquaculture,Noise Control,0,[]
7,Aquaculture,Hearing Loss,1,[229]
8,Aquaculture,Visual Health,0,[]
9,Aquaculture,Eye Health,0,[]
10,Aquaculture,Oral Health,0,[]
11,Aquaculture,Respiratory system,0,[]
12,Aquaculture,Asthma,0,[]
13,Aquaculture,Lung Cancer,0,[]
14,Aquaculture,HIV,0,[]
15,Aquaculture,Drug,2,"[127, 139]"
16,Aquaculture,Opioid,0,[]
17,Aquaculture,Violence,0,[]
18,Aquaculture,Gender Bias,0,[]
19,Aquaculture,Algae,1,[139]
20,Aquaculture,Antibiotic,4,"[29, 38, 137, 170]"
21,Aquaculture,Cardiometabolic Risks,0,[]
22,Fishery,Diving,2,"[51, 204]"
23,Fishery,Compression Disease,0,[]
24,Fishery,Epidemiologic,2,"[13, 154]"
25,Fishery,Skin Disease,1,[13]
26,Fishery,Musculoskeletal symptoms,0,[]
27,Fishery,Noise,0,[]
28,Fishery,Noise Control,0,[]
29,Fishery,Hearing Loss,1,[13]
30,Fishery,Visual Health,0,[]
31,Fishery,Eye Health,1,[155]
32,Fishery,Oral Health,0,[]
33,Fishery,Respiratory system,1,[188]
34,Fishery,Asthma,0,[]
35,Fishery,Lung Cancer,0,[]
36,Fishery,HIV,0,[]
37,Fishery,Drug,1,[154]
38,Fishery,Opioid,0,[]
39,Fishery,Violence,1,[77]
40,Fishery,Gender Bias,1,[77]
41,Fishery,Algae,0,[]
42,Fishery,Antibiotic,0,[]
43,Fishery,Cardiometabolic Risks,0,[]
44,Fish Hatchery,Diving,0,[]
45,Fish Hatchery,Compression Disease,0,[]
46,Fish Hatchery,Epidemiologic,0,[]
47,Fish Hatchery,Skin Disease,0,[]
48,Fish Hatchery,Musculoskeletal symptoms,0,[]
49,Fish Hatchery,Noise,1,[90]
50,Fish Hatchery,Noise Control,0,[]
51,Fish Hatchery,Hearing Loss,0,[]
52,Fish Hatchery,Visual Health,0,[]
53,Fish Hatchery,Eye Health,0,[]
54,Fish Hatchery,Oral Health,0,[]
55,Fish Hatchery,Respiratory system,0,[]
56,Fish Hatchery,Asthma,0,[]
57,Fish Hatchery,Lung Cancer,0,[]
58,Fish Hatchery,HIV,0,[]
59,Fish Hatchery,Drug,0,[]
60,Fish Hatchery,Opioid,0,[]
61,Fish Hatchery,Violence,0,[]
62,Fish Hatchery,Gender Bias,0,[]
63,Fish Hatchery,Algae,0,[]
64,Fish Hatchery,Antibiotic,0,[]
65,Fish Hatchery,Cardiometabolic Risks,0,[]
66,Maritime,Diving,0,[]
67,Maritime,Compression Disease,0,[]
68,Maritime,Epidemiologic,4,"[9, 10, 13, 154]"
69,Maritime,Skin Disease,2,"[13, 118]"
70,Maritime,Musculoskeletal symptoms,0,[]
