字段4_链接,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,字段20,字段21,字段22,字段23,字段24
https://pubmed.ncbi.nlm.nih.gov/30637094/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30931517/,Free article.,Occupational,fish,"
                BACKGROUND: The agriculture, forestry and fishing industry sector has high rates of occupational injuries. Fishing has globally particularly high occupational fatality rates, but injuries and illnesses to people working in its sub-sectors, aquaculture and …
              ",occupational,occupational,aquaculture,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31161600/,Free PMC article.,fish,Job,"
                Fishing is a dangerous and financially risky way to make a living, but it attracts many participants that prefer it to higher paying and safer jobs. Based on a survey of over 1400 U.S. West Coast fishing vessel owners we use factor analysis and structural equation modeling …
              ",S,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31327304/,Review.,Occupational,S,"
                Efforts are underway to expand the aquaculture sector in the United States (U.S.), and should be informed by occupational safety and health (OSH) research. ...Due to the expected U.S. expansion of marine aquaculture and paucity of peer-reviewed …
              ",aquaculture,S,occupational,Aquaculture,S,aquaculture,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/29096948/,Free article.,,,"
                
              ",,,,,,,Review.,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/26799652/,Free PMC article.,,,"
                
              ",,,,,,,No abstract available.,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/33354517/,Free PMC article.,,,"
                Industrial discharges, pharmaceutical wastes, pesticides, and sewage contribute to global declines in fish stocks. HUMAN HEALTH FINDINGS: Methylmercury and PCBs are the ocean pollutants whose human health effects are best understood. ...It is the consequence of reckless, s …
              ",fish,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/28129078/,Review.,Occupational,Aquaculture,"
                Aquaculture has many occupational hazards, including those that are physical, chemical, biological, ergonomic, and mechanical. ...The objective of the present study was to show the risks associated with the aquaculture sector and present a critical overview o …
              ",,,,,,,Review.,,"Aquaculture has many occupational hazards, including those that are physical, chemical, biological, ergonomic, and mechanical. ...The objective of the present study was to show the risks associated with the aquaculture sector and present a critical overview o",Aquaculture,occupational,aquaculture
https://pubmed.ncbi.nlm.nih.gov/31448696/,,Aquaculture,Occupational,"
                Objectives: In 2017 the Food and Agriculture Organization (FAO) Committee on Fisheries committed to prioritize occupational safety and health issues in aquaculture (AOSH). ...Panel members developed draft national and regional AOSH profiles outlining occup …
              ",Fisheries,occupational,aquaculture,,occup,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32212150/,Free article.,,,"
                BACKGROUND: The article is based on a review and follow-up of the citations of 13 epidemiological studies that aimed to improve maritime health and safety. While it's well-recognised that epidemiology is needed in occupational health and safety, the main research qu …
              ",s,occupational,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31535589/,No abstract available.,Aquaculture,,"
                
              ",,,,,,,,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/31352876/,,Occupational,Aquaculture,"
                Information on occupational health and safety practices in Brazilian aquaculture is limited. This paper reports preliminary results from an online survey based on research questions to identify occupational hazards, risk assessment practices, and prevention m …
              ",occupational,aquaculture,occupational,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31740489/,,aquaculture,occupational,"
                A scoping project was funded by the Food and Agriculture Organization in 2017 on the health and safety of aquaculture workers. This project developed a template covering basic types of aquaculture production, health and safety hazards and risks, and related data on …
              ",aquaculture,aquaculture,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31293219/,,,,"
                Non-fatal and fatal accident studies in fishing were absent.Conclusion: The lack of occupational injury studies is striking, and it urgently calls for establishing injury registers and monitoring safety in fishing. Among the occupational diseases, pityriasis of the …
              ",occupational,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31256715/,,,,"
                Background: Falls overboard are the most frequent cause of death in the Northeast lobster fishing industry. National Institute for Occupational Safety and Health (NIOSH) surveillance indicates every victim of a fall overboard who has been found was not wearing a lifejacket …
              ",Occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31680655/,No abstract available.,Aquaculture,,"
                
              ",,,,,,,,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/31237669/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30760593/,Free PMC article.,,,"
                The emergence of ecosystem-based fisheries management (EBFM) has broadened the policy scope of fisheries management by accounting for the biological and ecological connectivity of fisheries. Less attention, however, has been given to the economic connectivity …
              ",fisheries,fisheries,fisheries,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31354110/,,Occupational,,"
                Kerala, a maritime state on the west coast of peninsular India, constitutes approximately 10% of India's total coastline and claims a 20% share in national marine fish production. The registered fishing fleet consists of about 29,969 motorized, 4248 mechanized, and …
              ",s,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31280693/,,,,"
                Background: All over the world, commercial fishing is known to be a hazardous occupation. Although several causal analyses of occupational accidents have been published in recent years, knowledge of the prevalence of sick leave, diagnosis and hospitalization among w …
              ",occupation,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29939387/,,Occupational,,"
                BACKGROUND: The aim of this study was to evaluate the situation 60 years after independence, to assess the current state, to highlight the constraints and to propose recommendations for improving occupational health in the maritime sector. MATERIALS AND METHODS: This study …
              ",occupational,,,,,,,,,,,
